#,Текст вопроса (Напишите вопрос - 100),Прикрепить картинку,Правильный ответ (50),"Комментарий (Напишите комментарий для тех, кто будет оценивать Ваш вопрос - 400)","Описание (Раскройте тему вопроса, напишите авторское объяснение - 1500)",Источник информации (Напишите источник информации - 50 прикрепите ссылку на источник),Неправильный ответ 1 (50),Неправильный ответ 2 (50),Неправильный ответ 3 (50),Тема (50),Категория (50),Раздел (30),Сложность (5-ти бальная шкала сложности),Сложность (10-ти бальная шкала сложности),Сложность (15-ти бальная шкала сложности),Автор (30),Дата подачи вопроса,Рецензент (30),Дата резензии,Дата включения вопроса в базу
195,"Впервые график, в виде последовательности «свечей» придумал…?",,Торговец рисом Хомма Мунэхиса,,"В средневековой Японии рис был не только главной продовольственной культурой и сырьём для многих продуктов и товаров, но и основой благосостояния общества — им, в условиях неизбежного обесценивания денег, собирались налоги и выплачивалось жалованье, он использовался в ряде ритуалов и пр. Биржевой рынок риса в Японии действовал с XVII века. В соответствии с решениями Токугава Ёсимунэ (8-го сёгуна Токугава), который реформировал правила торговли рисом, в 1730 году начали действовать рисовые биржи — «Додзима» (Осака), «Куромаэ» (Токио). Считается, что впервые график в виде последовательности «свечей» придумал торговец рисом Хомма Мунэхиса для наглядного изображения ценового максимума и минимума в течение определённого периода времени, а также цены на начало и конец данного периода (цена открытия и цена закрытия соответственно). Данный метод оказался наиболее интересным, поскольку в одном элементе он отображал сразу четыре показателя вместо одного. Японские торговцы рисом быстро обнаружили, что на основании графиков можно с достаточной степенью вероятности предсказывать будущий спрос и поведение цены. Этот метод под названием КЭЙСЭН (けい線) широко известен в Японии, собственно это описание большого количества моделей, позволяющих предсказывать возможное движение цен. Мунэхиса начал свою торговую деятельность в 1750 году через 20 лет после организации бирж.",,8-й сёгун Токугава Ёсимунэ,Изобретатель печатной машинки Кёта Сугимото,Инженер и статистик Гэнъити Тагути,"#Случаи, события в трейдинге; #Биржи; #Даты, исторические факты; #Термины и понятия; #Фигуры технического анализа (паттерны); #Задачи, расчеты","#Участники биржевой торговли; #Индексы; #Финансовые показатели, коэффициенты",#Токийская фондовая биржа,,5,,Александр Иванов,08.07.2021,Александр Иванов,08.07.2021,08.07.2021
196,"Какая компания названа словом, которого нет ни в одном языке мира?",,Sony,,"Название «Сони» произошло от комбинации лат. sonus («звук») и англ. sunny boys («солнечные ребята»; в варианте англ. sonny-boys приобрело в японском значение «малолетние гении»); кроме того, Морита старался найти слово, которого нет ни в одном языке мира. Поскольку в японском языке звуки «сон-ни» напоминают слово, обозначающее неуспешный бизнес (буквально: «потерять деньги»), было решено убрать одну из букв n.",,Honda,Gorenje,Makita,"#Компании, тикеры; #Биржи, индексы; #Даты, исторические факты; #Сектора экономики, Отрасли","#Иностранные компании (Япония); #NYSE Euronext (New York Stock Exchange, США); #Потребительский сектор",#Токийская фондовая биржа,,5,,Александр Иванов,08.07.2021,Александр Иванов,08.07.2021,08.07.2021
197,Какой бизнесмен в 2011 г. был награждён премией Хайнлайна за достижения в коммерциализации космоса?,,Илон Маск (SpaceX),,"В мае 2002 года Илон Маск основал свою третью компанию — ""SpaceX"". Она является частным разработчиком серии ракет-носителей и коммерческим оператором космических систем. В декабре 2008 г. НАСА подписало с компанией контракт на сумму 1,6 млрд долларов США на 12 запусков носителя Falcon 9 и космического корабля Dragon к МКС, в качестве замены кораблей Space Shuttle после прекращения программы их запуска в 2011 году. Илон Маск поставил перед собой цель — в 10 !!! раз уменьшить затраты на космические полёты. Для этого он, основав SpaceX, вложил в неё 100 млн долларов, полученных от продажи своих предыдущих компаний. В июне 2011 года Илон Маск был награждён премией Хайнлайна за достижения в коммерциализации космоса в размере 500 тыс. долларов США.",,Джефф Безос (Blue Origin),Ричард Брэнсон (Virgin Galactic),Деннис Тито (первый космический турист),"#Компании, тикеры; #Биржи, индексы; #Даты, исторические факты; #Сектора экономики, Отрасли",#Иностранные компании (США); #NASDAQ (США); #Аэрокосмическая отрасль,,,5,,Александр Иванов,08.07.2021,Александр Иванов,08.07.2021,08.07.2021
198,"При расчете какого коэффициента из чистой прибыли вычитаются дивиденды по префам, если они есть?",,EPS,,"ЕРS (Earning Per Share – прибыль на акцию) - коэффициент прибыли на акцию. В своем классическом определении коэффициент EPS – это финансовый индикатор, который является результатом отношения чистой прибыли компании (за минусом дивидендов по привилегированным акциям, если они есть), к числу обыкновенных акций, находящихся в обращении в течение годового периода. EPS показывает общую эффективность вложения капитала инвестора в акции конкретного бизнеса. Суть коэффициента ЕРS состоит в том, что каждый акционер, владеющий акциями компании, имеет свою долю в ее уставном капитале. Уставной капитал равен количеству выпущенных акций этого бизнеса. Т.е. у каждого акционера есть своя доля в прибыли компании. Прибыль, полученная компанией, распределяется соразмерно доле каждого акционера. Соответственно данный коэффициент определяет – насколько велика отдача каждого вложенного рубля или доллара в акции компании, по отношению к получаемой прибыли. Чем выше показатель EPS, тем выше отдача вложенных денег от инвестирования в акции этой компании. Коэффициент EPS рассчитывается по формуле: EPS = (P- Diν) / S, где
Р – чистая прибыль отчетного периода после вычета налогов;
Diν – сумма дивидендов за отчетный период по привилегированным акциям;
S – средневзвешенное количество обыкновенных акций, находившихся в обращении в отчётный период (средневзвешенное количество обыкновенных акций в обращении в течение отчётного периода — количество обыкновенных акций, находившееся в обращении на начало периода и скорректированное на количество новых выпущенных обыкновенных акций в течение периода с учётом даты и условий их выпуска).",,Р / Е,ROI,ROS,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,7,,Александр Иванов,10.07.2021,Александр Иванов,10.07.2021,10.07.2021
199,Какой из представленных показателей (коэффициентов) может быть отрицательным?,,ROE,,"Коэффициент (мультипликатор) ROE (Return On Equity, с англ. «отдача от капитала»; с нем. «прибыль на акционерный капитал»). Сегодня этот термин принято употреблять как ROE ratio. Под рентабельностью собственного капитала (КРСК или ROE) понимают ― показатель соотношения чистой прибыли организации к среднегодовой величине собственного капитала (ROE (return on equity) = прибыль (net income)/собственный капитал (equity)). Простыми словами коэффициент ROE ― это годовая прибыль компании, после вычета всех налогов, сборов и прочих обязательных расходов поделенная на стоимость всех вложенных в компанию средств учредителей без заемных средств. В большинстве случаев применяется расчет ROE по балансу. При разнице стоимости акций и балансовой стоимости компании, принято производить расчет ROE исходя из рыночной стоимости компании. Коэффициент ROE дает информацию инвестору об возможной прибыльности «проценте доходности» средств, вложенных в ценные бумаги и иные инвестиционные инструменты. Пример: если банк предлагает открыть клиенту вклад под 10% годовых, то годовой ROE компании равный 10%, также будет свидетельствовать о том, что инвестор купивший акции фирмы получил на вложенные средства прибыль 10% годовых. Отрицательное значение ROE означает, что предприятие в убытках, т. е. его чистая прибыль ушла в минус, нерентабельно, - и вкладывать деньги в покупку его акций нецелесообразно. В основном ROE - это финансовый показатель, используемый для сравнения рентабельности предприятий различных отраслей промышленности (поиск высокодоходной отрасли), либо сравнения эффективности компаний работающих внутри одного промышленного сектора (металлургия, энергетика, машиностроение и т.д.). Отличным считается коэффициент ROE - в 2 раза превышающий ставку по банковским депозитам.",,P / S,,Нет такого!,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,7,,Александр Иванов,10.07.2021,Александр Иванов,10.07.2021,10.07.2021
200,Какой из представленных показателей (коэффициентов) не может быть отрицательным?,,P / S,,"Коэффициент P/S – это показатель, с помощью которого компания оценивается в годовых выручках. P/S = рыночная капитализация / годовой объем выручки за последние 12 месяцев (или P/S = текущая рыночная цена акции / годовой объем продаж на одну акцию). Этот коэффициент позволяет любому инвестору получить представление о том, сколько он платит за один доллар выручки компании, или за сколько лет сумма выручки сравняется со стоимостью всей компании. Коэффициент P/S был разработан экспертом по фондовому рынку Кеннетом Л. Фишером. Фишер заметил, что когда компания переживает период раннего роста, то инвесторы нереалистично оценивают ее. Когда же стоимость падает ниже их ожиданий, инвесторы паникуют и продают акции. Чтобы помочь решить эту проблему переоценки, Фишер придумал соотношение P/S. Стоимость продаж используется в качестве базы для формулы, потому что выручка компаний не бывает отрицательной. Этот показатель может использоваться для анализа любой публичной фирмы. К примеру, в том же коэффициенте P/E для расчета используется чистая прибыль. А она может быть и отрицательной. Мультипликатор P/S становится просто незаменимым инструментом в ситуациях, когда компания, оценку которой проводит инвестор, несет убытки. Важно: P/S во многих отраслях промышленности различается, и некорректно сравнить компании из разных секторов. Также - этот мультипликатор не может отличить ту организацию, которая использует заемные средства, от той, что обходится без них. Компания может сообщать о низком соотношении P/S и быть при этом близкой к банкротству. Какое значение P/S лучше для инвестора? Нормой можно считать ситуацию, когда P/S ниже двух. Вообще, чем ниже этот показатель, тем лучше, так как инвестор меньше платит за каждый доллар, который компания получает от продаж своей продукции (или услуг). Если же значение мультипликатора меньше единицы, это значит, что инвестор приобретает доллар со скидкой.",,ROCE,P / B,EPS,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,7,,Александр Иванов,10.07.2021,Александр Иванов,10.07.2021,10.07.2021
201,Анализ финансовых и производственных показателей деятельности компании присущ…?,,…фундаментальному анализу,,"Фундаментальный анализ (англ. Fundamental analysis) — термин для обозначения методов прогнозирования рыночной (биржевой) стоимости компании, основанных на анализе финансовых и производственных показателей её деятельности. Фундаментальный анализ используется инвесторами для оценки стоимости компании (или её акций), которая отражает состояние дел в компании, рентабельность её деятельности. При этом анализу подвергаются финансовые показатели компании: выручка, EBITDA (Earnings Before Interests, Taxes, Depreciation and Amortization), чистая прибыль, чистая стоимость компании, обязательства, денежный поток, величина выплачиваемых дивидендов и производственные показатели компании.",,…техническому анализу,…интуитивному анализу,...SWOT-анализу,#Термины и понятия; #Задачи / расчеты,"#Финансовые показатели, коэффициенты",,,3,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
202,"Анализ сильных и слабых сторон компании, а также потенциальных возможностей и угроз - это…?",,SWOT-анализ,,"SWOT-анализ — метод стратегического планирования, заключающийся в выявлении факторов внутренней и внешней среды организации и разделении их на четыре категории:
Strengths (сильные стороны),
Weaknesses (слабые стороны),
Opportunities (возможности),
Threats (угрозы).
Сильные (S) и слабые (W) стороны являются факторами внутренней среды объекта анализа, (то есть тем, на что сам объект способен повлиять); возможности (O) и угрозы (T) являются факторами внешней среды (то есть тем, что может повлиять на объект извне и при этом не контролируется объектом). Например, предприятие управляет собственным торговым ассортиментом — это фактор внутренней среды, но законы о торговле не подконтрольны предприятию — это фактор внешней среды.
Акроним SWOT был впервые введён в 1963 году в Гарварде на конференции по проблемам бизнес-политики профессором Кеннетом Эндрюсом (англ. Kenneth Andrews). Объектом SWOT-анализа может быть не только организация, но и другие социально-экономические объекты: отрасли экономики, города, государственно-общественные институты, научная сфера, политические партии, некоммерческие организации (НКО), отдельные специалисты, персоны и т. д.",,GAP-анализ,PEST-анализ,SNW-анализ,#Термины и понятия; #Задачи / расчеты,"#Финансовые показатели, коэффициенты",,,7,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
203,"Анализ сильных, нейтральных и слабых сторон компании - это…?",,SNW-анализ,,"SNW-анализ (акроним от англ. Strength, Neutral, Weakness) — это анализ сильных, нейтральных и слабых сторон организации. Как показала практика, в ситуации стратегического анализа внутренней среды организации в качестве нейтральной позиции лучше всего фиксировать среднерыночное состояние для данной ситуации. Элементы внутренней среды для SNW анализа:
- Общая стратегия,
- Бизнес стратегии,
- Оргструктура,
- Финансы,
- Конкурентность продуктов,
- Дистрибуция,
- Информационные технологии,
- Лидерство,
- Уровень производства,
- Уровень маркетинга,
- Торговая марка,
- Персонал,
- Репутация на рынке,
- Отношения с Органами государственной власти,
- Инновации,
- Послепродажное обслуживание,
- Степень вертикальной интеграции,
- Корпоративная культура,
- Стратегические альянсы.",,GAP-анализ,SWOT-анализ,Анализ пяти сил Портера,#Термины и понятия; #Задачи / расчеты,"#Финансовые показатели, коэффициенты",,,7,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
204,Кому из великих трейдеров принадлежит эта цитата?,"«Я понял, что технический анализ не работает, когда перевернул графики цен „вверх ногами“ и получил тот же самый результат»",Уоррен Баффетт (Warren Buffett),,"Уоррен Эдвард Баффетт (англ. Warren Edward Buffett; род. 30 августа 1930, Омаха, Небраска) — американский предприниматель, один из крупнейших и наиболее известных в мире инвесторов, состояние которого на 12 февраля 2019 года оценивалось в 84,9 млрд долларов, что делало его четвертым самым богатым человеком в мире. В 11 лет Уоррен впервые попробовал себя на бирже. Вместе со своей сестрой Дорис он купил три привилегированные акции Cities Service по $38,25 за штуку. Сначала их цена опустилась до $27, потом поднялась до $40 и Баффетт продал их, чтобы получить прибыль в $5 долларов (за вычетом комиссии). Любопытно, что через несколько дней цена акции поднялась до $202 долларов. Если бы Баффетт подождал, то смог бы получить прибыль около $500. Этот первый опыт научил Баффетта тому, что инвестор должен быть терпеливым и не паниковать, если цены падают; не продавать ради краткосрочной выгоды; быть уверенным в успехе, если вкладываешь чужие деньги (после падения цены он чувствовал себя виноватым, так как рисковал деньгами сестры). Баффет также считает, что прогнозировать поведение рынка бессмысленно. Достичь долговременного успеха, по мнению Баффета, можно лишь соблюдая определённые принципы, проявляя при этом терпение и бережливость.",,Джордж Сорос (George Soros),Эд Сейкота (Edward Seykota),Александр Элдер (Alexander Elder),#Термины и понятия; #Задачи / расчеты; #Цитаты великих трейдеров,#Фигуры технического анализа (паттерны),#Трейдеры,,7,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
205,Базовой основой какого анализа является анализ графиков цен и/или биржевого стакана?,,Технического анализа,,"Технический анализ — совокупность инструментов прогнозирования вероятного изменения цен на основе закономерностей изменений цен в прошлом в аналогичных обстоятельствах. Базовой основой является анализ графиков цен — «чартов» (от англ. chart — график, диаграмма) и/или биржевого стакана. В техническом анализе множество инструментов и методов, но все они основаны на одном предположении: динамика движения цены определяется психологией поведения участников рынка, которые в схожих обстоятельствах под воздействием человеческих инстинктов — жадности, стадности, страхов и т. д. — ведут себя одинаково, формируя потоки спроса и предложения, а также степень дисбаланса между ними. Это и позволяет прогнозировать движение цен. 
Технический анализ не рассматривает причины того, почему цена изменяет своё направление (например, вследствие низкой доходности акций, колебаний цен на другие товары или изменения иных условий), но учитывает лишь факт, что цена движется в том или ином направлении, или определённым образом, например находясь в пределах какого-то интервала цен в течение некоторого времени. Различные методики могут также учитывать объёмы торгов, сумму открытых позиций, объёмы выставленных заявок на покупку/продажу и т. п. В техническом анализе часто рассматривают и анализируют так называемые паттерны или модели — типовые комбинации, формирующиеся на ценовых графиках. Примерами могут служить разворотные модели («Тройная вершина», «Двойная вершина», а также обратные к ним «Тройное дно» «Двойное дно»), модели продолжения тренда (различные «Треугольники», «Флаг»). Выводы, полученные на основании технического анализа, могут расходиться с выводами из фундаментального анализа, который основывается на предположении, что текущая рыночная цена товара (ценной бумаги, валютной пары) отличается от некоей «реальной стоимости» (она переоценена или недооценена), но стремится к ней.",,Фундаментального анализа,SNW-анализа,Анализа пяти сил Портера,#Термины и понятия; #Задачи / расчеты,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",,,3,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
206,"""Движения цен на рынке учитывают всю информацию"" - этот постулат относится к …?",,Техническому анализу,,"""Движения цен на рынке учитывают всю информацию"" - согласно этой аксиоме Технического анализа вся информация, влияющая на цену актива, уже учтена в самой цене и объёме торгов и нет необходимости отдельно изучать зависимость цены от политических, экономических и прочих факторов. Достаточно сосредоточиться на изучении динамики цены/объёма и получить направление наиболее вероятного развития рынка. Также, одним из постулатов Технического анализа является то, что ""История повторяется!"" - участники рынка в схожих обстоятельствах ведут себя одинаково, формируя похожую динамику изменения цен. Это позволяет применять графические модели изменения цен, выявленные на основе анализа исторических данных.",,Фундаментальному анализу,Интуитивному анализу,GAP-анализу,#Термины и понятия; #Задачи / расчеты,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",,,5,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
207,"Какой великий финансист сказал, что ""…Графики цен великолепны, чтобы предсказывать прошлое.""?",,Питер Линч (Peter Lynch),,"Питер Линч (англ. Peter Lynch; род. 19 января 1944 года, Ньютон, Массачусетс, США) — американский финансист, инвестор. В период с 1977 по 1990 гг. руководил инвестиционным фондом Fidelity Magellan Fund. В 1963 году в возрасте 19 лет Питер Линч купил свои первые акции — это были акции компании грузовых авиаперевозок Flying Tigers Airlines. Он заплатил по $7 за акцию, через год цена составила $32,75. Вложения в эту компанию позволили Линчу впоследствии оплатить MBA в Уортонской школе бизнеса Пенсильванского университета. Питер Линч, добившись успехов в инвестировании, делился некоторыми правилами, которых он придерживался, в книгах и выступлениях. Среди них следует особо выделить:

«Ваше преимущество как инвестора заключается не в том, чтобы следовать советам профессионалов с Уолл-стрит. Преимущество - в хорошем знании компании или отрасли, в которую вы инвестируете. Благодаря этому вы можете превзойти профессионалов».
«Никогда не инвестируйте в компанию, если не знаете её финансовое состояние. Именно бумаги фирм с плохим финансовым положением ведут к рекордным убыткам».
«Следует иметь представление, во что вы инвестируете и почему. Соображения вроде „Эта акция вырастет, как пить дать!“ здесь не подходят». «Стреляя на удачу, вы почти всегда промахнетесь».
«В каждой отрасли и в каждом регионе наблюдательный непрофессионал может найти великолепно растущие компании задолго до того, как их обнаружат профессионалы».
«У каждого из нас достаточно ума, чтобы зарабатывать на фондовом рынке. Но не у каждого достаточно выдержки. Если вы склонны к панической продаже, вам лучше обойти стороной и акции, и взаимные фонды, инвестирующие в акции».",,Линда Рашке (Linda Raschke),Джордж Сорос (George Soros),Брюс Ковнер (Bruce Kovner),#Термины и понятия; #Задачи / расчеты; #Цитаты великих трейдеров,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",#Трейдеры,,8,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
208,"Какой технический аналитик, стал известен этой рифмованной фразой:",англ. «The trend is your friend!» --- «Тренд — ваш друг!» ?,Джордж Лейн (George Lane),,"Джордж Лейн (1921 - 7 июля 2004) был торговцем ценными бумагами, писателем, педагогом, спикером и техническим аналитиком . Он был частью группы фьючерсных трейдеров в Чикаго, которые разработали стохастический осциллятор (также известный как «стохастик Лейна»), который является одним из основных индикаторов, используемых сегодня техническими аналитиками. Лейн также был президентом компании Investment Educators Inc. в Ватсеке, штат Иллинойс , где он обучал инвесторов и финансовых специалистов основным и продвинутым методам технического анализа. Он популяризировал стохастический осциллятор.",,Ральф Эллиот (Ralph Elliott),Джон Боллинджер (John Bollinger),Джон Мёрфи (John Murphy),#Термины и понятия; #Задачи / расчеты; #Цитаты великих трейдеров,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",#Трейдеры,,9,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
209,Какой технический индикатор его разработчик охарактеризовал этим предложением…?,"""...Тип статистической диаграммы, характеризующей цены и волатильности финансового инструмента или товара в течение определенного отрезка времени…""",Полосы Боллинджера,,"Ли́нии (по́лосы) Бо́ллинджера (англ. Bollinger bands) — инструмент технического анализа финансовых рынков, отражающий текущие отклонения цены акции, товара или валюты. Индикатор рассчитывается на основе стандартного отклонения от простой скользящей средней. Обычно отображается поверх графика цены. Параметрами для расчета служит тип стандартного отклонения (обычно двойное) и период скользящей средней (зависит от предпочтений трейдера). 
Индикатор помогает оценить, как расположены цены относительно нормального торгового диапазона. Линии Боллинджера создают рамку, в пределах которой цены считаются нормальными. Линии Боллинджера строятся в виде верхней и нижней границы вокруг скользящей средней, но ширина полосы не статична, а пропорциональна среднеквадратическому отклонению от скользящей средней за анализируемый период времени.
Торговым сигналом считается, когда цена выходит из торгового коридора — либо поднимаясь выше верхней линии, либо пробивая нижнюю линию. Если график цены колеблется между линиями — индикатор не даёт торговых сигналов.",,Кривая Коппока,Пятиволновая модель Эллиота,Линия роста/падения (ADL),#Термины и понятия; #Задачи / расчеты,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",,,9,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
210,"Какой индикатор, определяющий состояние перекупленности/перепроданности, вычисляется по формуле: …?","""...Отношение разности между текущей ценой закрытия и максимальной ценой (максимума high) за предыдущие периоды к разности между максимальной (максимума high) и минимальной ценой (минимума low) за предыдущие периоды…""",Williams %R,,"Williams %R (также %R, от англ. Larry Williams' percent range) — технический индикатор, определяющий состояние перекупленности/перепроданности по положению текущей цены закрытия в диапазоне между минимумом и максимумом цен за предыдущие периоды. Значения индикатора Williams %R в каждый момент времени численно равно отношению разности между текущей ценой закрытия и максимальной ценой (максимума high) за предыдущие периоды к разности между максимальной (максимума high) и минимальной ценой (минимума low) за предыдущие периоды. %R является осциллятором, принимающим значения в пределах ( -100 ; 0 ) причём значение, расположенное ближе к нижней границе указывает на перепроданность, а ближе к верхней на перекупленность. Все торговые стратегии, применимые к другим осцилляторам теоретически подходят и к процентному диапазону Вильямса. Например:
Открыть длинную позицию, если %R опускается ниже −80.
Закрыть длинную позицию, если %R поднимется выше −20.",,PVT,RSI,MACD,#Термины и понятия; #Задачи / расчеты,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",,,10,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
211,"Если при восходящей тенденции появляется новый максимум на графике цены, а на RSI новый максимум не образуется - то это…?",,…дивергенция,,"Дивергенция (англ. divergence — «расхождение») является наиболее сильным сигналом индикаторного анализа. Её суть заключается в образовании нового экстремума в цене в направлении доминирующего тренда при необновлении данного экстремума в индикаторе. Цена продолжает своё движение по тренду, в то время как индикатор говорит, что тренд ослаб и продолжает движение лишь по инерции, а доминирующая группа участников уже выдыхается, значит, велика вероятность смены направления движения. Наиболее распространёнными индикаторами для поиска и анализа дивергенции являются MACD и RSI, но также подходят и многие другие индикаторы — и трендовые, и осцилляторы. Дивергенции различают по направленности и по количеству экстремумов. Дивергенция, говорящая о вероятной смене медвежьего тренда на бычий и заключающаяся в образовании новой впадины на ценовом графике при необновлении впадины на графике индикатора, называется бычьей. Напротив, если цена образует пик, двигаясь в направлении восходящего тренда, а индикатор показывает неспособность продублировать данный пик на своём графике, то наступает медвежья дивергенция. Она указывает на то, что бычий тренд выдыхается, и медведи могут пойти в полномасштабное наступление.",,…конвергенция,…затухание нисходящего тренда,…усиление восходящего тренда,#Термины и понятия; #Задачи / расчеты,"#Фигуры технического анализа (паттерны); #Финансовые показатели, коэффициенты",,,7,,Александр Иванов,11.07.2021,Александр Иванов,11.07.2021,11.07.2021
